country_id,country
0,ABW
1,AGO
2,AIA
3,ALB
4,AND
5,ARE
6,ARG
7,ARM
8,ASM
9,ATA
10,ATF
11,AUS
12,AUT
13,AZE
14,BDI
15,BEL
16,BEN
17,BFA
18,BGD
19,BGR
20,BHR
21,BHS
22,BIH
23,BLR
24,BOL
25,BRA
26,BRB
27,BWA
28,CAF
29,CHE
30,CHL
31,CHN
32,CIV
33,CMR
34,CN
35,COL
36,COM
37,CPV
38,CRI
39,CUB
40,CYM
41,CYP
42,CZE
43,DEU
44,DJI
45,DMA
46,DNK
47,DOM
48,DZA
49,ECU
50,EGY
51,ESP
52,EST
53,ETH
54,FIN
55,FJI
56,FRA
57,FRO
58,GAB
59,GBR
60,GEO
61,GGY
62,GHA
63,GIB
64,GLP
65,GNB
66,GRC
67,GTM
68,GUY
69,HKG
70,HND
71,HRV
72,HUN
73,IDN
74,IMN
75,IND
76,IRL
77,IRN
78,IRQ
79,ISL
80,ISR
81,ITA
82,JAM
83,JEY
84,JOR
85,JPN
86,KAZ
87,KEN
88,KHM
89,KIR
90,KNA
91,KOR
92,KWT
93,LAO
94,LBN
95,LBY
96,LCA
97,LIE
98,LKA
99,LTU
100,LUX
101,LVA
102,MAC
103,MAR
104,MCO
105,MDG
106,MDV
107,MEX
108,MKD
109,MLI
110,MLT
111,MMR
112,MNE
113,MOZ
114,MRT
115,MUS
116,MWI
117,MYS
118,MYT
119,NAM
120,NCL
121,NGA
122,NIC
123,NLD
124,NOR
125,NPL
126,UNK
127,NZL
128,OMN
129,PAK
130,PAN
131,PER
132,PHL
133,PLW
134,POL
135,PRI
136,PRT
137,PRY
138,PYF
139,QAT
140,ROU
141,RUS
142,RWA
143,SAU
144,SDN
145,SEN
146,SGP
147,SLE
148,SLV
149,SMR
150,SRB
151,STP
152,SUR
153,SVK
154,SVN
155,SWE
156,SYC
157,SYR
158,TGO
159,THA
160,TJK
161,TMP
162,TUN
163,TUR
164,TWN
165,TZA
166,UGA
167,UKR
168,UMI
169,URY
170,USA
171,UZB
172,VEN
173,VGB
174,VNM
175,ZAF
176,ZMB
177,ZWE
